DriverNumber,LapNumber,Compound,TyreLife,FreshTyre
55,17.0,MEDIUM,14.0,True
55,18.0,MEDIUM,15.0,True
55,19.0,MEDIUM,16.0,True
55,20.0,MEDIUM,17.0,True
55,21.0,MEDIUM,18.0,True
55,22.0,MEDIUM,19.0,True
55,23.0,MEDIUM,20.0,True
55,24.0,MEDIUM,21.0,True
55,25.0,MEDIUM,22.0,True
55,26.0,MEDIUM,23.0,True
55,27.0,MEDIUM,24.0,True
55,28.0,MEDIUM,25.0,True
55,29.0,MEDIUM,26.0,True
55,30.0,MEDIUM,27.0,True
55,31.0,MEDIUM,28.0,True
55,32.0,MEDIUM,29.0,True
55,33.0,HARD,1.0,True
55,34.0,HARD,2.0,True
55,35.0,HARD,3.0,True
55,36.0,HARD,4.0,True
55,37.0,HARD,5.0,True
55,38.0,HARD,6.0,True
55,39.0,HARD,7.0,True
55,40.0,HARD,8.0,True
55,41.0,HARD,9.0,True
55,42.0,HARD,10.0,True
55,43.0,HARD,11.0,True
55,44.0,HARD,12.0,True
55,45.0,HARD,13.0,True
55,46.0,HARD,14.0,True
55,47.0,HARD,15.0,True
55,48.0,HARD,16.0,True
55,49.0,HARD,17.0,True
55,50.0,HARD,18.0,True
55,51.0,HARD,19.0,True
55,52.0,HARD,20.0,True
55,53.0,HARD,21.0,True
55,54.0,HARD,22.0,True
55,55.0,HARD,23.0,True
55,56.0,HARD,24.0,True
55,57.0,HARD,25.0,True
55,58.0,HARD,26.0,True
55,59.0,HARD,27.0,True
55,60.0,HARD,28.0,True
55,61.0,HARD,29.0,True
55,62.0,HARD,30.0,True
55,63.0,HARD,31.0,True
55,64.0,HARD,32.0,True
55,65.0,HARD,33.0,True
55,66.0,HARD,34.0,True
55,67.0,HARD,35.0,True
55,68.0,HARD,36.0,True
55,69.0,HARD,37.0,True
55,70.0,HARD,38.0,True
22,1.0,INTERMEDIATE,1.0,True
22,2.0,INTERMEDIATE,2.0,True
22,3.0,INTERMEDIATE,1.0,True
22,4.0,MEDIUM,1.0,True
22,5.0,MEDIUM,2.0,True
22,6.0,MEDIUM,3.0,True
22,7.0,MEDIUM,4.0,True
22,8.0,MEDIUM,5.0,True
22,9.0,MEDIUM,6.0,True
22,10.0,MEDIUM,7.0,True
22,11.0,MEDIUM,8.0,True
22,12.0,MEDIUM,9.0,True
22,13.0,MEDIUM,10.0,True
22,14.0,MEDIUM,11.0,True
22,15.0,MEDIUM,12.0,True
22,16.0,MEDIUM,13.0,True
22,17.0,MEDIUM,14.0,True
22,18.0,MEDIUM,15.0,True
22,19.0,MEDIUM,16.0,True
22,20.0,MEDIUM,17.0,True
22,21.0,MEDIUM,18.0,True
22,22.0,MEDIUM,19.0,True
22,23.0,HARD,1.0,True
22,24.0,HARD,2.0,True
22,25.0,HARD,3.0,True
22,26.0,HARD,4.0,True
22,27.0,HARD,5.0,True
22,28.0,HARD,6.0,True
22,29.0,HARD,7.0,True
22,30.0,HARD,8.0,True
22,31.0,HARD,9.0,True
22,32.0,HARD,10.0,True
22,33.0,HARD,11.0,True
22,34.0,HARD,12.0,True
22,35.0,HARD,13.0,True
22,36.0,HARD,14.0,True
22,37.0,HARD,15.0,True
22,38.0,HARD,16.0,True
22,39.0,HARD,17.0,True
22,40.0,HARD,18.0,True
22,41.0,HARD,19.0,True
22,42.0,HARD,20.0,True
22,43.0,HARD,21.0,True
22,44.0,HARD,22.0,True
22,45.0,HARD,23.0,True
22,46.0,HARD,24.0,True
22,47.0,HARD,25.0,True
22,48.0,HARD,26.0,True
22,49.0,HARD,27.0,True
22,50.0,HARD,28.0,True
22,51.0,HARD,29.0,True
22,52.0,HARD,30.0,True
22,53.0,HARD,31.0,True
22,54.0,HARD,32.0,True
22,55.0,HARD,33.0,True
22,56.0,HARD,34.0,True
22,57.0,HARD,35.0,True
22,58.0,HARD,36.0,True
22,59.0,HARD,37.0,True
22,60.0,HARD,38.0,True
22,61.0,HARD,39.0,True
22,62.0,HARD,40.0,True
22,63.0,HARD,41.0,True
22,64.0,HARD,42.0,True
22,65.0,HARD,43.0,True
22,66.0,HARD,44.0,True
22,67.0,HARD,45.0,True
22,68.0,HARD,46.0,True
22,69.0,HARD,47.0,True
22,70.0,HARD,48.0,True
63,1.0,INTERMEDIATE,1.0,True
63,2.0,INTERMEDIATE,2.0,True
63,3.0,INTERMEDIATE,1.0,True
63,4.0,MEDIUM,1.0,True
63,5.0,MEDIUM,2.0,True
63,6.0,MEDIUM,3.0,True
63,7.0,MEDIUM,4.0,True
63,8.0,MEDIUM,5.0,True
63,9.0,MEDIUM,6.0,True
63,10.0,MEDIUM,7.0,True
63,11.0,MEDIUM,8.0,True
63,12.0,MEDIUM,9.0,True
63,13.0,MEDIUM,10.0,True
63,14.0,MEDIUM,11.0,True
63,15.0,MEDIUM,12.0,True
63,16.0,MEDIUM,13.0,True
